KODE_BARANG,nama_barang,STOK,SATUAN,LOKASI,LAST_UPDATE
ASPEX0201661,CAM LOCK TYPE. A 2 ` ,4,SET,rak 69,13/01/2026
ASPEX0201667,CAM LOCK TYPE. D 2 ` ,4,SET,rak 70,13/01/2026
ASPEX0201690,CAPASITOR 35uF-400VAC ,9,PCS,rak 71,13/01/2026
ASPEX0201692,CAPASITOR 40 UF 450VAC ,9,PCS,rak 72,13/01/2026
ASPEX0201722,CARBON BRUSH BOSCH GWS 750-100 ,1,SET,rak 73,13/01/2026
ASPEX0201726,CARBON BRUSH E91 (GSA-120) ,6,SET,rak 74,13/01/2026
ASPEX0201774,CAST IN HEATER 240X140X25 ,5,SET,rak 75,13/01/2026
ASPEX0201778,CAST IN HEATER 240X92X25 ,3,SET,rak 76,13/01/2026
ASPEX0201779,CAST IN HEATER 245 X 220 220V ,7,PCS,rak 77,13/01/2026
ASPEX0201785,CAST IN HEATER 255X245 220V ,7,PCS,rak 78,13/01/2026
ASPEX0201790,CAST IN HEATER 260X202X25-380V ,8,SET,rak 79,13/01/2026
ASPEX0201802,CAST IN HEATER 280X200X25 ,8,SET,rak 80,13/01/2026
ASPEX0201803,CAST IN HEATER 280X200X25-380V ,2,SET,rak 81,13/01/2026
ASPEX0201805,CAST IN HEATER 290X115X25 380V ,12,PCS,rak 82,13/01/2026
ASPEX0201811,CAST IN HEATER 320X150X25 ,14,PCS,rak 83,13/01/2026
ASPEX0201820,CAST IN HEATER 340X100X25 ,10,SET,rak 84,13/01/2026
ASPEX0201828,CAST IN HEATER 340X92X25 ,24,PCS,rak 85,13/01/2026
ASPEX0201829,CAST IN HEATER 375X215X25 ,2,SET,rak 86,13/01/2026
ASPEX0201873,CAT BIRU NIPPE ,7,Kg,rak 87,13/01/2026
ASPEX0201889,CAT KUNING NIPPE ,17,Kg,rak 88,13/01/2026
ASPEX0201896,CAT NIPPE ABU-ABU LEMARI LOKER ,3,KG,rak 89,13/01/2026
ASPEX0201928,CAT PUTIH NIPPE 470 ,12,Kg,rak 90,13/01/2026
ASPEX0201988,CHUCK COLLECT MINI GRINDER ,2,SET,rak 91,13/01/2026
ASPEX0202007,CLAMP DIES ,1,SET,rak 92,13/01/2026
ASPEX0202039,COLOKAN / STREKER ,45,Pcs,rak 93,13/01/2026
ASPEX0202041,COLOKAN 3 LUBANG ,26,PCS,rak 94,13/01/2026
ASPEX0202056,COMPOND PUTIH ,5,Kg,rak 95,13/01/2026
ASPEX0202090,CONICAL TWIN SCREW & BAREL D80 ,5,SET,rak 96,13/01/2026
ASPEX0202100,CONICAL TWIN SCREW&BARREL D92/ ,3,SET,rak 97,13/01/2026
ASPEX0202116,CONTACK POINT LAY5-BE 101 NO ,17,Pcs,rak 98,13/01/2026
ASPEX0202134,CONTACT SCHNEIDER XEN-G1191 ,8,PCS,rak 99,13/01/2026
ASPEX0202137,CONTACTOR LC1 E0910 220V ,8,Pcs,rak 100,13/01/2026
ASPEX0202151,CONTACTOR LC1 D1801 M7 24VAC ,6,PCS,rak 101,13/01/2026
ASPEX0202180,CONTACTOR SCHNEIDER LC1D.K ,3,PCS,rak 102,13/01/2026
ASPEX0202185,CONTACTOR SCHNEIDER LC1D35AM7 ,4,PCS,rak 103,13/01/2026
ASPEX0202189,CONTACTOR SCHNEIDER LC1D50AM7 ,5,PCS,rak 104,13/01/2026
ASPEX0202207,CONTACTOR SIEMEN 3TS 32 00220 ,18,PCS,rak 105,13/01/2026
ASPEX0202210,CONTACTOR SIEMEN 3TS 33 00 220 ,18,Pcs,rak 106,13/01/2026
ASPEX0202212,CONTACTOR SIEMEN 3TS 34.00 220 ,9,Pcs,rak 107,13/01/2026
ASPEX0202214,CONTACTOR SIEMEN 3TS 35.00 220 ,7,PCS,rak 108,13/01/2026
