KODE_BARANG,nama_barang,STOK,SATUAN,LOKASI,LAST_UPDATE
ASPEX0205894,OIL SEAL TC 170 X 200 X 15 ,8,PCS,rak 300,13/01/2026
ASPEX0205922,OIL SEAL TC 60 X 90 X 12 - 2 ,21,PCS,rak 301,13/01/2026
ASPEX0205923,OIL SEAL TC 60X80X10 ,9,PCS,rak 302,13/01/2026
ASPEX0205971,OKSIGEN O2 ,7,Tbg,rak 303,13/01/2026
ASPEX0205979,OLI EMKARATE RL 170 ,10,GLN,rak 304,13/01/2026
ASPEX0205988,OLI FLICKER 860S SPESIAL HTO ,20,PAIL,rak 305,13/01/2026
ASPEX0206003,OLI FORCE INGO ISO VG 320 ,600,LTR,rak 306,13/01/2026
ASPEX0206034,OLI SAVER 3636 HTO ISO32 ,20,PAIL,rak 307,13/01/2026
ASPEX0206037,OLI SUNISO REFRIGERATIONOIL3GS ,21,GLN,rak 308,13/01/2026
ASPEX0206160,OVERPALL 4MM ,2,PCS,rak 309,13/01/2026
ASPEX0206170,PACKING SILICON 4 MM (KARET) ,5,LMBR,rak 310,13/01/2026
ASPEX0206179,PACKING TOMBO 1MM ,5,LBR,rak 311,13/01/2026
ASPEX0206208,PAKU 5 CM ,50,KG,rak 312,13/01/2026
ASPEX0206213,PAKU 7CM ,20,KG,rak 313,13/01/2026
ASPEX0206223,PAKU RIVET 540 ,1,DUS,rak 314,13/01/2026
ASPEX0206227,PAKU RIVET 675 ,1,Dus,rak 315,13/01/2026
ASPEX0206236,PAKU ROOFING 10CM ,4,PACK,rak 316,13/01/2026
ASPEX0206244,PALU KAMBING ,4,PCS,rak 317,13/01/2026
ASPEX0206248,PALU KARET ,2,PCS,rak 318,13/01/2026
ASPEX0206263,PANEL METER MT4W-DV-4N ,14,PCS,rak 319,13/01/2026
ASPEX0206265,PANEL METER ZHYQ PD9001 ,5,PCS,rak 320,13/01/2026
ASPEX0206283,PELAMPUNG RADAR OTOMATIS ,8,PCS,rak 321,13/01/2026
ASPEX0206295,PENETRATING ALMA AC 901 ,62,CAN,rak 322,13/01/2026
ASPEX0206314,PENGGARIS SIKU SS 60CM ,8,PCS,rak 323,13/01/2026
ASPEX0206345,PILLOW BLOCK FL 309 ,2,PCS,rak 324,13/01/2026
ASPEX0206346,PILLOW BLOCK FYH FC 210 J ,4,PCS,rak 325,13/01/2026
ASPEX0206353,PILOT LAMP HIJAU 220 VAC ,11,Pcs,rak 326,13/01/2026
ASPEX0206355,PILOT LAMP KUNING 220 VAC ,14,Pcs,rak 327,13/01/2026
ASPEX0206359,PILOT LAMP MERAH 220VAC ,13,Pcs,rak 328,13/01/2026
ASPEX0206429,PIPA GALVANIS 1 ` ,15,BTG,rak 329,13/01/2026
ASPEX0206447,PIPA GALVANIS SNI BAKRI 1/2` ,10,Btg,rak 330,13/01/2026
ASPEX0206455,PIPA GALVANIS SNI BAKRI 2` ,5,Btg,rak 331,13/01/2026
ASPEX0206555,PISAU CUTTING RS ,19,PCS,rak 332,13/01/2026
ASPEX0206589,PITING TUBING I 08 MM ,65,Pcs,rak 333,13/01/2026
ASPEX0206594,PITING TUBING I 10 - 12 ,74,PCS,rak 334,13/01/2026
ASPEX0206597,PITING TUBING I 10 MM ,76,Pcs,rak 335,13/01/2026
ASPEX0206599,PITING TUBING I 12-08 MM ,99,PCS,rak 336,13/01/2026
ASPEX0206607,PITING TUBING I 8-10 ,64,PCS,rak 337,13/01/2026
ASPEX0206628,PITING TUBING PC 08 - 02 ,29,PCS,rak 338,13/01/2026
ASPEX0206630,PITING TUBING PC 08 - 03 ,19,PCS,rak 339,13/01/2026
ASPEX0206631,PITING TUBING PC 08 - 04 ,8,PCS,rak 340,13/01/2026
ASPEX0206644,PITING TUBING PC 10 - 03 DRAT ,89,PCS,rak 341,13/01/2026
ASPEX0206647,PITING TUBING PC 10 - 04 ,9,PCS,rak 342,13/01/2026
ASPEX0206653,PITING TUBING PC 10-02 ,86,PCS,rak 343,13/01/2026
ASPEX0206660,PITING TUBING PC 12 - 02 ,8,PCS,rak 344,13/01/2026
ASPEX0206661,PITING TUBING PC 12 - 03 ,100,PCS,rak 345,13/01/2026
ASPEX0206663,PITING TUBING PC 12 - 03 DRAT ,8,PCS,rak 346,13/01/2026
ASPEX0206665,PITING TUBING PC 12 - 04 ,19,PCS,rak 347,13/01/2026
ASPEX0206672,PITING TUBING PC 16 - 04 ,9,PCS,rak 348,13/01/2026
ASPEX0206673,PITING TUBING PC 16 - 04 (L) ,9,PCS,rak 349,13/01/2026
ASPEX0206723,PITING TUBING T 10MM ,46,PCS,rak 350,13/01/2026
ASPEX0206725,PITING TUBING T 12MM ,16,PCS,rak 351,13/01/2026
ASPEX0206757,PLAT BESI 10 MM ,3,LBR,rak 352,13/01/2026
ASPEX0206786,PLAT BESI 8MM ,2,LMBR,rak 353,13/01/2026
ASPEX0206803,PLAT BORDES 3MM ,5,Lbr,rak 354,13/01/2026
ASPEX0206856,PLAT STAINLIS 304 T 2MM ,3,Lbr,rak 355,13/01/2026
ASPEX0206887,PLC CM 1241 RS422/485 ,15,SET,rak 356,13/01/2026
ASPEX0206895,PLC SIMATIC S7-1200 CPU 1214C ,5,SET,rak 357,13/01/2026
ASPEX0206897,PLC SM 1231 TC ,4,SET,rak 358,13/01/2026
ASPEX0206942,PNEUMATIC CYLINDER 40 X 150 ,13,LUSIN,rak 359,13/01/2026
ASPEX0206944,PNEUMATIC CYLINDER 80 X 750 ,2,PCS,rak 360,13/01/2026
ASPEX0206946,PNEUMATIC CYLINDER SC 125X100 ,8,PCS,rak 361,13/01/2026
ASPEX0206948,PNEUMATIC CYLINDER SC 63 X 700 ,8,PCS,rak 362,13/01/2026
ASPEX0206949,PNEUMATIC CYLINDER SC 63X100 ,6,PCS,rak 363,13/01/2026
ASPEX0206950,PNEUMATIC CYLINDER SC 63X100 ,3,SET,rak 364,13/01/2026
ASPEX0206951,PNEUMATIC CYLINDER SC 63X125 ,12,PCS,rak 365,13/01/2026
ASPEX0206983,POMPA AIR 1.5 KW ,3,SET,rak 366,13/01/2026
ASPEX0207005,POTENSIO VISHAY 10K OHM ,21,PCS,rak 367,13/01/2026
ASPEX0207015,POWER LOGIC PM5350 ,5,PCS,rak 368,13/01/2026
ASPEX0207021,POWER SUPLY ABL2REM24150H ,1,PCS,rak 369,13/01/2026
ASPEX0207022,POWER SUPLY NRD - 240 - 24 ,4,UNIT,rak 370,13/01/2026
ASPEX0207045,PRESSURE GAUGE 4`X0-6KgX1/2` ,11,Pcs,rak 371,13/01/2026
ASPEX0207053,PRESSURE SWITCH SAGINOMIYA DNS ,4,PCS,rak 372,13/01/2026
ASPEX0207070,PROPELLER MIXER 500/1000 ,28,UNIT,rak 373,13/01/2026
ASPEX0207071,PROPELLER MIXER 800/2500 ,5,SET,rak 374,13/01/2026
ASPEX0207079,PROXIMITY SENSOR PR12-4DN2 ,36,PCS,rak 375,13/01/2026
ASPEX0207082,PROXIMITY SENSOR PRL 12-4DN - ,2,PCS,rak 376,13/01/2026
ASPEX0207085,PROXIMITY SENSOR PRL18-8AC ,12,PCS,rak 377,13/01/2026
ASPEX0207108,PULLY 3 LUBANG ,1,Pcs,rak 378,13/01/2026
ASPEX0207109,PULLY B 2-3 ,1,PCS,rak 379,13/01/2026
ASPEX0207132,PUSH BUTTON ON OFF NYALA HIJAU ,41,Pcs,rak 380,13/01/2026
ASPEX0207133,PUSH BUTTON ON OFF NYALA MERAH ,30,Pcs,rak 381,13/01/2026
ASPEX0207221,RANTAI DID 428 ,7,PACK,rak 382,13/01/2026
ASPEX0207244,RECOIL INSERT M 24 X 2.5 - 2D ,32,PCS,rak 383,13/01/2026
ASPEX0207278,"REDUCER DRAT GALVANIS 2""-1.5"" ",8,PCS,rak 384,13/01/2026
ASPEX0207281,"REDUCER GALVANIS 1"" - 1/2"" ",13,PCS,rak 385,13/01/2026
ASPEX0207282,"REDUCER GALVANIS 1.1/2"" - 1"" ",15,PCS,rak 386,13/01/2026
ASPEX0207352,REGULATOR AR 2000-02BG HPC ,22,PCS,rak 387,13/01/2026
ASPEX0207368,REGULATOR OKSIGEN ,2,Pcs,rak 388,13/01/2026
ASPEX0207414,RELAY RXM2LB2 BD - 24VDC ,20,Pcs,rak 389,13/01/2026
ASPEX0207416,RELAY RXM2LB2 P7 - 220VAC ,32,PCS,rak 390,13/01/2026
ASPEX0207419,RELL MCB ,20,Mtr,rak 391,13/01/2026
ASPEX0207426,REMOTE CRANE HOIST ,1,PCS,rak 392,13/01/2026
ASPEX0207469,RING PLAT M 12 ,50,PCS,rak 393,13/01/2026
ASPEX0207473,RING PLAT M 14 ,50,PCS,rak 394,13/01/2026
ASPEX0207475,RING PLAT M 16 ,42,PCS,rak 395,13/01/2026
ASPEX0207500,RING PLAT M 6 ,100,PCS,rak 396,13/01/2026
ASPEX0207503,RING PLAT M 8 ,150,PCS,rak 397,13/01/2026
ASPEX0207506,RING PLAT M.10 ,100,Pcs,rak 398,13/01/2026
ASPEX0207507,RING PLAT M.12 ,100,Pcs,rak 399,13/01/2026
ASPEX0207611,ROTARY ENCORDER E40S620483T24 ,6,PCS,rak 400,13/01/2026
ASPEX0207612,ROTARY ENCORDER E50S8-20483T24 ,10,Pcs,rak 401,13/01/2026
ASPEX0207660,S1010 ELECTRICAL CONT CLEANER ,27,Can,rak 402,13/01/2026
ASPEX0207670,S1013 INSULATING VERNISH RED ,4,Can,rak 403,13/01/2026
ASPEX0207677,S1042 ANTI SEIZE AGENT ,1,CAN,rak 404,13/01/2026
ASPEX0207727,SAVER 1033 METAL PROTECTOR ,9,CAN,rak 405,13/01/2026
ASPEX0207729,SAVER 1044 RED GREASE ,5,Can,rak 406,13/01/2026
ASPEX0207734,SAVER 3076 CENTRALIZED LUBE ,5,PAIL,rak 407,13/01/2026
ASPEX0207736,SAVER 3077-R2 HIGH TEMP GREASE ,14,PAIL,rak 408,13/01/2026
ASPEX0207824,SCUN KABEL SC 35-10 ,38,Pcs,rak 409,13/01/2026
ASPEX0207827,SCUN KABEL SC 4-5 ,50,PCS,rak 410,13/01/2026
ASPEX0207829,"SCUN KABEL SC 5,5-5 ",14,PACK,rak 411,13/01/2026
ASPEX0207873,SCUN KABEL Y 1.5 ,5,PACK,rak 412,13/01/2026
ASPEX0207875,SCUN KABEL Y 2.5 ,50,PCS,rak 413,13/01/2026
ASPEX0207939,SEAL TAPE TEFLON ,4,Lusin,rak 414,13/01/2026
ASPEX0208002,"SELANG HIDROLIK VAKUM 1"" 1450 ",5,SET,rak 415,13/01/2026
ASPEX0208004,"SELANG HIDROLIK VAKUM 1"" 600MM ",5,SET,rak 416,13/01/2026
ASPEX0208015,SELANG KALIBRATOR UK. 2M + NEP ,3,SET,rak 417,13/01/2026
ASPEX0208054,"SELANG SPRING TOYOX 2.1/2"" ",30,MTR,rak 418,13/01/2026
ASPEX0208069,SELANG TUBING PU 10 MM ,308,MTR,rak 419,13/01/2026
ASPEX0208070,SELANG TUBING PU 12 MM ,201,MTR,rak 420,13/01/2026
ASPEX0208071,SELANG TUBING PU 8 MM ,173,MTR,rak 421,13/01/2026
ASPEX0208090,SELECTOR SWITCH ZA2EE101 ,20,SET,rak 422,13/01/2026
ASPEX0208104,SELENOID VALVE 4V210-08 24VDC ,15,PCS,rak 423,13/01/2026
ASPEX0208106,SELENOID VALVE 4V210-08-220V ,31,PCS,rak 424,13/01/2026
ASPEX0208204,SIGNAL CABLE CB-8M METTLER TOL ,1,SET,rak 425,13/01/2026
ASPEX0208207,SIKAT KAWAT BAJA ,7,Pcs,rak 426,13/01/2026
ASPEX0208218,SIKAT KAWAT KUNINGAN ,17,PCS,rak 427,13/01/2026
ASPEX0208221,SIKAT KAWAT KUNINGAN LENGKUNG ,5,PCS,rak 428,13/01/2026
ASPEX0208226,"SIKAT MANGKOK KUNINGAN 3"" ",6,PCS,rak 429,13/01/2026
ASPEX0208233,"SIKU MAGNET LAS 3"" ",4,PCS,rak 430,13/01/2026
ASPEX0208264,SIRENE 220 V AC ,1,Pcs,rak 431,13/01/2026
ASPEX0208362,SOCKET LEGRAND 4PIN 32A ,20,SET,rak 432,13/01/2026
ASPEX0208388,SOCKET TIMER AT8N ,30,PCS,rak 433,13/01/2026
ASPEX0208400,SOK DRAT DALAM PVC 1/2 ` ,1,PCS,rak 434,13/01/2026
ASPEX0208412,SOK DRAT GALVANIS 1.5 ` ,1,PCS,rak 435,13/01/2026
ASPEX0208444,"SOK GALVANIS 1.1/2"" ",4,PCS,rak 436,13/01/2026
ASPEX0208449,SOK GALVANIS 2.5 ` ,5,PCS,rak 437,13/01/2026
ASPEX0208450,SOK GALVANIS 2` ,10,Pcs,rak 438,13/01/2026
ASPEX0208478,SOLAR DEXLITE ,7466,LTR,rak 439,13/01/2026
ASPEX0208544,SPAREPART PREVENTIVE KOBELCO ,5,SET,rak 440,13/01/2026
ASPEX0208548,SPEED CONTROL ASC-08 ,21,PCS,rak 441,13/01/2026
ASPEX0208571,SPIRAL TUBE&SPRING D87/D75 ,50,SET,rak 442,13/01/2026
ASPEX0208604,STANG BLENDER POTONG LPG ,2,PCS,rak 443,13/01/2026
ASPEX0208613,STANG LAS KURT HAUFE ,2,PCS,rak 444,13/01/2026
ASPEX0208636,STEAM KRISBOW 130 BAR ,2,SET,rak 445,13/01/2026
ASPEX0208656,STEROFOAM 4 ` ,30,Mtr,rak 446,13/01/2026
ASPEX0208671,STOP KONTAK 3 LUBANG ,10,Pcs,rak 447,13/01/2026
ASPEX0208683,STOP KONTAK TEMBOK ,1,Pcs,rak 448,13/01/2026
ASPEX0208784,TANG JEPIT/TANG BUAYA ,10,PCS,rak 449,13/01/2026
ASPEX0208786,TANG KOMBINASI ,19,PCS,rak 450,13/01/2026
ASPEX0208794,TANG LANCIP ,10,PCS,rak 451,13/01/2026
ASPEX0208803,TANG POTONG ,20,PCS,rak 452,13/01/2026
ASPEX0208829,TANG SCUN/CRIMPING YTH-202B ,4,PCS,rak 453,13/01/2026
ASPEX0208876,TCT SAW BLADE 405*32*28*50*120 ,2,PCS,rak 454,13/01/2026
ASPEX0208877,TCT SAW BLADE MS350*120T*30 ,15,PCS,rak 455,13/01/2026
ASPEX0208929,TERMINAL BLOCK KRUSTIN 10MM ,51,PCS,rak 456,13/01/2026
ASPEX0208930,TERMINAL BLOCK KRUSTIN 5MM ,50,PCS,rak 457,13/01/2026
ASPEX0208958,TERMINAL KERAMIK 2P 5.5X10 ,100,Pcs,rak 458,13/01/2026
ASPEX0208986,TEST PEN UNIOR ,16,PCS,rak 459,13/01/2026
ASPEX0208989,TESTPEN KABEL PUTUS ,10,PCS,rak 460,13/01/2026
ASPEX0208998,THERMAL OVERLOAD 3US 16-25A ,5,PCS,rak 461,13/01/2026
ASPEX0208999,THERMAL OVERLOAD 3US 7-10A ,2,PCS,rak 462,13/01/2026
ASPEX0209005,THERMAL OVERLOAD GV2 ME08 ,8,PCS,rak 463,13/01/2026
ASPEX0209011,THERMAL OVERLOAD GV2-ME10C ,1,PCS,rak 464,13/01/2026
ASPEX0209017,THERMAL OVERLOAD GV2ME22 ,3,PCS,rak 465,13/01/2026
ASPEX0209026,THERMAL OVERLOAD LRD 340C ,7,PCS,rak 466,13/01/2026
ASPEX0209031,THERMAL OVERLOAD LRD08 2.5-4A ,18,Pcs,rak 467,13/01/2026
ASPEX0209034,THERMAL OVERLOAD LRD10 4-6A ,8,Pcs,rak 468,13/01/2026
ASPEX0209036,"THERMAL OVERLOAD LRD12 5,5-8 A ",8,PCS,rak 469,13/01/2026
ASPEX0209039,THERMAL OVERLOAD LRD14 7-10A ,5,Pcs,rak 470,13/01/2026
ASPEX0209041,THERMAL OVERLOAD LRD16 9-13A ,2,Pcs,rak 471,13/01/2026
ASPEX0209043,THERMAL OVERLOAD LRD21 12-18A ,6,Pcs,rak 472,13/01/2026
ASPEX0209045,THERMAL OVERLOAD LRD22 16-25A ,4,Pcs,rak 473,13/01/2026
ASPEX0209047,THERMAL OVERLOAD LRD32 23-32A ,1,Pcs,rak 474,13/01/2026
ASPEX0209052,THERMAL OVERLOAD LRD350 37-50A ,4,PCS,rak 475,13/01/2026
ASPEX0209084,THERMALOVERLOAD TR-N5/3 53-80A ,2,PCS,rak 476,13/01/2026
ASPEX0209087,THERMO CONTROL DIXELL XR 60CX ,2,PCS,rak 477,13/01/2026
ASPEX0209113,"THERMOCOUPLE TYPE.K Dia.2,5 mm ",79,PCS,rak 478,13/01/2026
ASPEX0209127,THINNER HG SPC ,225,Ltr,rak 479,13/01/2026
ASPEX0209136,THREEBOND SILICON ,47,Pcs,rak 480,13/01/2026
ASPEX0209146,TIMER AUTONIC AT8N ,7,PCS,rak 481,13/01/2026
ASPEX0209151,TIMER AUTONICS AT8N + SOCKET ,5,SET,rak 482,13/01/2026
ASPEX0209154,TIMER DELAY SCHNEIDER LADT0 ,2,LUSIN,rak 483,13/01/2026
ASPEX0209180,TINTA/INK 1067K 500ml(HITACHI) ,1,BTL,rak 484,13/01/2026
ASPEX0209215,TRAFO STEP DOWN BK-500VA ,3,PCS,rak 485,13/01/2026
ASPEX0209216,TRAFO STEPDOWN 220V/12V 10W ,5,PCS,rak 486,13/01/2026
ASPEX0209297,V - BELT A - 40 ,3,PCS,rak 487,13/01/2026
ASPEX0209298,V - BELT A - 44 ,9,PCS,rak 488,13/01/2026
ASPEX0209309,V - BELT B - 84 ,4,PCS,rak 489,13/01/2026
ASPEX0209318,V - BELT BANDO C-123 ,3,PCS,rak 490,13/01/2026
ASPEX0209320,V - BELT C-100 ,6,PCS,rak 491,13/01/2026
ASPEX0209322,V - BELT C-130 (CRUSHER) ,6,PCS,rak 492,13/01/2026
ASPEX0209329,V - BELT MITSUBOSHI C-119 ,6,Pcs,rak 493,13/01/2026
ASPEX0209339,V - RING 2 X 1.1/2 ,2,PCS,rak 494,13/01/2026
ASPEX0209352,"VACUM GAUGE 3"" -76cmHg -0.1MPa ",5,PCS,rak 495,13/01/2026
ASPEX0209480,WARNING LIGHT SHEMSCO NPT5-3-K ,3,SET,rak 496,13/01/2026
ASPEX0209482,WASH BENZINE ,70,Ltr,rak 497,13/01/2026
ASPEX0209484,WASH SOLUTION TH-TYPE CM(HTC) ,84,Ltr,rak 498,13/01/2026
ASPEX0209508,WATERPASS MAGNET 1 M ,3,PCS,rak 499,13/01/2026
ASPEX0209527,WEBBING SLING 3 TON - 3 METER ,3,PCS,rak 500,13/01/2026
ASPEX0209528,WEBBING SLING 3 TON - 6 METER ,3,PCS,rak 501,13/01/2026
ASPEX0209572,WOOL POLISHER POLES 4`X9MM ,10,PCS,rak 502,13/01/2026
ASPEX0209600,AIR CYLINDER 80 X 80 TC ,3,PCS,rak 503,13/01/2026
ASPEX0209603,KLEM SELANG PESAWAT EN AW 6082 ,1,SET,rak 504,13/01/2026
ASPEX0209605,BESI BEHEL STAINLESS 8 MM ,10,BTG,rak 505,13/01/2026
ASPEX0209635,OIL SEAL TC 75 X 100 X 12 ,8,PCS,rak 506,13/01/2026
ASPEX0209648,INDIKATOR TUTUP OLI KACA ,20,PCS,rak 507,13/01/2026
ASPEX0209649,TUTUP VACUM AKRILIK ,9,PCS,rak 508,13/01/2026
ASPEX0209783,OIL SEAL TC 100X125X12 ,12,PCS,rak 509,13/01/2026
ASPEX0209784,PAKU 10 CM ,20,KG,rak 510,13/01/2026
ASPEX0209787,MANUAL PUSH BUTTON FIRE ALARM ,7,PCS,rak 511,13/01/2026
ASPEX0209933,PLAT LUBANG SS DIA 4 MM ,2,LBR,rak 512,13/01/2026
ASPEX0209934,HEATER DIES KOTAK 160X285X20 ,2,PCS,rak 513,13/01/2026
ASPEX0209935,HEATER DIES KOTAK 180X175X20 ,2,PCS,rak 514,13/01/2026
ASPEX0209936,HEATER DIES KOTAK 200X285X20 ,6,PCS,rak 515,13/01/2026
ASPEX0210044,ISOLASI NITTO HITAM ,16,PCS,rak 516,13/01/2026
ASPEX0210076,CAPACITOR BANK RF-T 415 V ,5,UNIT,rak 517,13/01/2026
ASPEX0210077,KARET COUPLING EXTRUDER MT 9 ,8,PCS,rak 518,13/01/2026
ASPEX0210078,KARET COUPLING EXTRUDER MT 8 ,6,PCS,rak 519,13/01/2026
ASPEX0210079,KARET COUPLING EXTRUDER MT 7 ,3,PCS,rak 520,13/01/2026
ASPEX0210080,KARET COUPLING EXTRUDER MT 6 ,3,PCS,rak 521,13/01/2026
ASPEX0210088,RECOIL INSERT M 24 X 3 ,19,PCS,rak 522,13/01/2026
ASPEX0210105,AUXILARY SIEMENS 3TX3010-8A NO ,29,PCS,rak 523,13/01/2026
ASPEX0210106,AUXILARY SIEMENS 3TX3001-8A NC ,40,PCS,rak 524,13/01/2026
ASPEX0210107,3P-MGV PARTS 451476 ,2,PCS,rak 525,13/01/2026
ASPEX0210108,HEATER DIES KOTAK 320X175X20 ,6,PCS,rak 526,13/01/2026
ASPEX0210110,SNAI M10 X 1.0 ,2,PCS,rak 527,13/01/2026
ASPEX0210187,"NEPLE SELANG 1/2"" DRAT LUAR ",40,PCS,rak 528,13/01/2026
ASPEX0210195,PRESSURE SWITCH TIVAL FF4-8 8 BAR ,2,SET,rak 529,13/01/2026
ASPEX0210198,MECANICAL SEAL 2100K-43 G60 STA ,5,PCS,rak 530,13/01/2026
ASPEX0210200,V - BELT B-94 ,2,PCS,rak 531,13/01/2026
ASPEX0210216,BEARING HGW - 25CC HIWIN ,4,PCS,rak 532,13/01/2026
ASPEX0210218,BEARING HGW - 30CC HIWIN ,14,PCS,rak 533,13/01/2026
ASPEX0210219,BEARING SKF 6315 RS GERMANY ,1,PCS,rak 534,13/01/2026
ASPEX0210220,BEARING SKF/FAG 30310 ,3,PCS,rak 535,13/01/2026
ASPEX0210221,BEARING SKF/FAG 30311 ,3,PCS,rak 536,13/01/2026
ASPEX0210223,BEARING SKF/FAG 32028 ,4,PCS,rak 537,13/01/2026
ASPEX0210228,HEATER DIES KOTAK 260X250 ,10,PCS,rak 538,13/01/2026
ASPEX0210235,PHASE FAILURE RELAY GC1100 ,3,PCS,rak 539,13/01/2026
ASPEX0210444,REFILL LPG BRIGHTGAS 12 KG ,2,TBG,rak 540,13/01/2026
ASPEX0210456,SENSOR ROTARY PADDLE SR-80 ,6,SET,rak 541,13/01/2026
ASPEX0210546,LAMPU LED 10 WATT ,6,PCS,rak 542,13/01/2026
ASPEX0210559,DIGITAL PANEL METER LR-3UIF35 ,5,PCS,rak 543,13/01/2026
ASPEX0210630,DIGITAL PANEL METER SD8-A10W ,10,PCS,rak 544,13/01/2026
ASPEX0210631,FAN TYPE FP-108EX-S1-SFY ,9,PCS,rak 545,13/01/2026
ASPEX0210632,FAN TYPE DZ12038B24HA ,1,PCS,rak 546,13/01/2026
ASPEX0210770,CATERPILAR (RUBBER+CHAIN) 830R ,2,SET,rak 547,13/01/2026
ASPEX0210836,INVERTER ABB ACS-480 1.5 KW ,1,SET,rak 548,13/01/2026
ASPEX0210838,INVERTER EV2100 75 KW ,1,SET,rak 549,13/01/2026
ASPEX0210840,HOT MIX CYLINDER + AS BEARING ,1,SET,rak 550,13/01/2026
ASPEX0210841,COOL MIX CYLINDER + AS BEARING ,1,SET,rak 551,13/01/2026
ASPEX0210844,MAIN MOTOR EXTRUDER 110KW ,1,SET,rak 552,13/01/2026
ASPEX0210849,RUBBER ROLL HAULOFF RS ROMA L = 1680 ,1,SET,rak 553,13/01/2026
ASPEX0210893,STANDING BARREL 92/188 ,1,PCS,rak 554,13/01/2026
ASPEX0210894,VACUUM PART SCREW BAREL 80/156 ,3,SET,rak 555,13/01/2026
ASPEX0210951,CAT NIPPE SILVER ,9,KG,rak 556,13/01/2026
ASPEX0210952,PNEUMATIC CYLINDER SC 63X200 ,6,PCS,rak 557,13/01/2026
ASPEX0211026,CAST IN HEATER 375X110X25 380V ,1,SET,rak 558,13/01/2026
ASPEX0211027,HEATER DIES KOTAK 270X260X20 220V ,13,PCS,rak 559,13/01/2026
ASPEX0211028,CAST IN HEATER 240X92X25 380V ,2,SET,rak 560,13/01/2026
ASPEX0211029,HEATER ADAPTOR KOTAK 280X240X45X20 ,1,SET,rak 561,13/01/2026
ASPEX0211030,HEATER DIES KOTAK 240X260X20 220V ,6,PCS,rak 562,13/01/2026
ASPEX0211031,BAND HEATER CERAMIC 220X160 380V ,2,SET,rak 563,13/01/2026
ASPEX0211056,COLOKAN T CABANG ,2,PCS,rak 564,13/01/2026
ASPEX0211189,KAIN FILTER DUST COLLECTOR ,8,MTR,rak 565,13/01/2026
ASPEX0211247,"FLAP DISC K55 4"" ",30,PCS,rak 566,13/01/2026
ASPEX0211483,BLOK VAKUM RS ,1,SET,rak 567,13/01/2026
ASPEX0211534,PNEUMATIC CYLINDER SC 125X250 ,4,PCS,rak 568,13/01/2026
ASPEX0211546,"FLANGE PVC 2.5"" ",12,PCS,rak 569,13/01/2026
ASPEX0211633,ROUTER 4G TP-LINK ,4,SET,rak 570,13/01/2026
ASPEX0211634,DOUBLE TAPE 3M ,10,PCS,rak 571,13/01/2026
ASPEX0211635,HUB 5 PORT 105 DC9-48V ,7,SET,rak 572,13/01/2026
ASPEX0211637,OIL SEAL TC 60 - 82 - 8 ,8,PCS,rak 573,13/01/2026
ASPEX0211647,BEARING NTN 6210 ,1,PCS,rak 574,13/01/2026
ASPEX0211707,WIRE ROPE SLING 4 LEG + 10.7 TON 1 ,2,SET,rak 575,13/01/2026
ASPEX0211712,SPIRAL WRAPPING KABEL KS15 ,2,ROLL,rak 576,13/01/2026
ASPEX0211737,LOAD CELL MT1260 - 300 KG 2M ,12,UNIT,rak 577,13/01/2026
ASPEX0211738,PRECISION JUNCTION BOX AJB540S ,13,UNIT,rak 578,13/01/2026
ASPEX0211739,WEIGH TERM 32E10000A000000 ,13,UNIT,rak 579,13/01/2026
ASPEX0211780,CUTTING FLUID ,2,LTR,rak 580,13/01/2026
ASPEX0211812,FLANGE PVC 4' ,4,PCS,rak 581,13/01/2026
ASPEX0211817,OIL SEAL TC 140X210X15 ,2,PCS,rak 582,13/01/2026
ASPEX0211866,GAS TORCH ,4,SET,rak 583,13/01/2026
ASPEX0211867,GAS HI COCK 230 GR ,4,TBG,rak 584,13/01/2026
ASPEX0211913,SEAL SILICON COOLING MIXER ,11,PCS,rak 585,13/01/2026
ASPEX0211928,PRESSURE SWITCH SAGINOMIYA YNSC106 ,7,SET,rak 586,13/01/2026
ASPEX0211929,"FLANGE JIS 10K 2"" ",2,PCS,rak 587,13/01/2026
ASPEX0211951,HEATER DIES KOTAK 305X225X20 ,4,PCS,rak 588,13/01/2026
ASPEX0211952,BAND HEATER CERAMIC 200x120 380V ,2,PCS,rak 589,13/01/2026
ASPEX0211957,ROTOR GERGAJI BOSCH GSA120 ,3,SET,rak 590,13/01/2026
ASPEX0211966,BOX PANEL 170 X 80 X 40 CM ,1,UNIT,rak 591,13/01/2026
ASPEX0211967,TRAFO FD-680 380V - 24 V 50VA ,6,SET,rak 592,13/01/2026
ASPEX0211968,PRESSURE TRANSMITTER WPT-70G-A4G4 ,3,SET,rak 593,13/01/2026
ASPEX0211986,ORING SEAL 6 MM METERAN ,9,MTR,rak 594,13/01/2026
ASPEX0211987,ORING SEAL 7 MM METERAN ,15,MTR,rak 595,13/01/2026
ASPEX0212011,MOTOR+ROTARY VALVE 0.75 KW ,4,SET,rak 596,13/01/2026
ASPEX0212017,FLOATLESS LEVEL+SOCKET 220V ,7,SET,rak 597,13/01/2026
ASPEX0212019,ELECTRODE HOLDER PS-3S OMRON ,8,SET,rak 598,13/01/2026
ASPEX0212096,OIL SEAL TC 130 X 160 X 12 ,12,PCS,rak 599,13/01/2026
ASPEX0212137,KABEL PROFIBUS 6XV1830 ,160,MTR,rak 600,13/01/2026
